reservation_id,user_id,table_id,date,slot_type,created_at
BOOK_1759833099661_YUYNH9,2345,B1,2025-10-07,FULL_DAY,2025-10-07T10:31:39.661Z
BOOK_1759833174670_LNM6KM,2345,B2,2025-10-08,FULL_DAY,2025-10-07T10:32:54.670Z
